"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"873532098886a3068e333839cff270e3","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Eikenella",NA
"4ef3d05269c762db631f033432d48b23","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",NA
"31dfd281f26f77135ba493aa705759b6","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Kingella",NA
"66d81f51ccb53bf2e6e23b6435aba263","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Vogesella",NA
"7283d1631096ee412ff416586b74ec7d","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales",NA,NA,NA
"c11854201f66fa3c7f7865d6312a0bff","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA,NA
"bdc0932a276e4d2c766476682654f72f","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Iodobacter",NA
"0e877a094015982f4023c419024b1f3a","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Halothiobacillaceae","Thiovirga",NA
"f7d3884fdb532941ecc891bc4a53ddd3","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
"63a2b97a86ee6054edc92e79b633dd0f","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Silanimonas",NA
"d7620518edda5ad712c08143f44813d3","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas",NA
"ddc02c67e987a5501262c9da96e22970","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas",NA
"f587e479e504535728a95cac356900ec","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Rudaea",NA
"eead1e60941d4ae4ef8d3310fe08a67b","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"8e2b150be33ece2b61737f5dd310299b","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xylella",NA
"6e7bfd8302488122ab735f8b1638aac3","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas",NA
"44ec5a861370410f314049dede7d94e1","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",NA
"44deaca44eeb1f8ff9575e1723c03abd","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
"9eed06561d10e7003d7aaaa9e9401174","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas",NA
"44ac9a0b0c6134fffd1e69ee3057613a","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteibacter",NA
"29d952eba04d1197712cb6914e93a9c6","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Dyella",NA
"ec8f440f3a668db758e33850515b168e","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Rhodanobacter",NA
"65cdd6292c6758247c0b08e3439c5cf6","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Dokdonella",NA
"730aa5503000f950677c90febb22631a","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Aquimonas",NA
"a1e13484ba169cd609f39b93f7a6a201","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"53b8c7d2ff14046d95a558b19ef25604","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae",NA,NA
"78c682b08bb150b2a5e955c44c8fe660","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Wolinella",NA
"c9ba8a08f5c9edb9adbeb9997dddee90","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter",NA
"bc2e91c177dcf042f2ecde858c2e64ed","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA
"d0a3c439ded8dd1a06908e47fdc19502","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfurimonas",NA
"71aa378e23276fcbc461df453d3a3603","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Sulfuricurvum",NA
"91d1e22d3231029951692063c8d56e16","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Sulfurospirillum",NA
"7216ce2dbdf3c36ead4621f6589da657","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter",NA
"a06ce618fa6ba0845d590afd83a5f767","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax",NA
"d06059ceb1c28a33a47afb651b3721a4","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",NA
